Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Performance % 1 week,Performance % 1 month,Performance % 3 months,Performance % 6 months,Performance % Year to date,Performance % 1 year,Performance % 5 years,Performance % 10 years,Performance % All Time,Volatility 1 week,Volatility 1 month,Pre-market Price,Pre-market Price - Currency,Pre-market Change %,Pre-market Gap %,Pre-market Volume,Gap % 1 day,Volume Change % 1 day,Post-market Price,Post-market Price - Currency,Post-market Change %,Post-market Volume,Market capitalization performance % 1 year,"Price to earning to growth, Trailing 12 months",Price to sales ratio,Price to book ratio,Price to cash flow ratio,Price to free cash flow ratio,Price to cash ratio,Enterprise value,Enterprise value - Currency,"Enterprise value to revenue ratio, Trailing 12 months","Enterprise value to EBIT ratio, Trailing 12 months","Enterprise value to EBITDA ratio, Trailing 12 months","Dividends per share, Annual","Dividends per share, Annual - Currency","Dividends per share, Quarterly","Dividends per share, Quarterly - Currency",Dividend yield % (indicated),"Dividend payout ratio %, Trailing 12 months","Dividends per share growth %, Annual YoY",Continuous dividend payout,Continuous dividend growth,"Gross margin %, Trailing 12 months","Operating margin %, Trailing 12 months","Pretax margin %, Trailing 12 months","Net margin %, Trailing 12 months","Free cash flow margin %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Return on invested capital %, Trailing 12 months","Research & development ratio, Trailing 12 months","Selling, general & admin expenses ratio, Trailing 12 months","Recent fiscal period, Current","Fiscal period end date, Current","Total revenue, Trailing 12 months","Total revenue, Trailing 12 months - Currency","Revenue growth %, TTM YoY","Gross profit, Trailing 12 months","Gross profit, Trailing 12 months - Currency","Operating income, Trailing 12 months","Operating income, Trailing 12 months - Currency","Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Total assets, Quarterly","Total assets, Quarterly - Currency","Total current assets, Quarterly","Total current assets, Quarterly - Currency","Cash and short term investments, Quarterly","Cash and short term investments, Quarterly - Currency","Total liabilities, Quarterly","Total liabilities, Quarterly - Currency","Total debt, Quarterly","Total debt, Quarterly - Currency","Net debt, Quarterly","Net debt, Quarterly - Currency","Total equity, Quarterly","Total equity, Quarterly - Currency","Current ratio, Quarterly","Quick ratio, Quarterly","Debt to equity ratio, Quarterly","Cash to debt ratio, Quarterly","Cash from operating activities, Trailing 12 months","Cash from operating activities, Trailing 12 months - Currency","Cash from investing activities, Trailing 12 months","Cash from investing activities, Trailing 12 months - Currency","Cash from financing activities, Trailing 12 months","Cash from financing activities, Trailing 12 months - Currency","Free cash flow, Trailing 12 months","Free cash flow, Trailing 12 months - Currency","Capital expenditures, Trailing 12 months","Capital expenditures, Trailing 12 months - Currency","Revenue per share, Trailing 12 months","Revenue per share, Trailing 12 months - Currency","Earnings per share basic, Trailing 12 months","Earnings per share basic, Trailing 12 months - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Free cash flow per share, Trailing 12 months","Free cash flow per share, Trailing 12 months - Currency","EBIT per share, Trailing 12 months","EBIT per share, Trailing 12 months - Currency","EBITDA per share, Trailing 12 months","EBITDA per share, Trailing 12 months - Currency","Book value per share, Quarterly","Book value per share, Quarterly - Currency","Total debt per share, Quarterly","Total debt per share, Quarterly - Currency","Cash per share, Quarterly","Cash per share, Quarterly - Currency"
RY,Royal Bank of Canada,230.51,CAD,1.6716654904728263,3040821.0,0.6222771979383629,317456074541.0,CAD,16.378544682000012,14.0739,CAD,25.132477416601475,2.73465067043049,Finance,Buy,0.0043383947939223,-1.9315039353329164,12.066702319023769,27.47331748050654,-1.9315039353329164,28.805319624497084,119.15763453127968,225.85524455753463,2726.176245210728,1.4653180506273586,1.3292330777101409,,,,,,-0.0088214537755867,9.43267281195546,230.51,CAD,0.0,1368500.0,28.11092575691916,0.6409734945965935,2.3457740805100333,2.532309160332598,14.963886081662524,16.690251500918208,,642563074541.0,CAD,4.722783813584113,,,6.04,CAD,1.54,CAD,2.893437,42.83293029720664,7.857142857142866,20.0,15.0,,17.843388016699,18.7996119245017,14.9658963956018,14.289704239430822,0.905664472706861,15.2993639666242,9.90687672112643,,,2025-Q4,2025-10-31,136056000000.0,CAD,2.131876050924814,,,24277000000.0,CAD,20362000000.0,CAD,,,2325006000000.0,CAD,827184000000.0,CAD,,,2185855000000.0,CAD,350429000000.0,CAD,313405000000.0,CAD,139151000000.0,CAD,0.636857288700107,,2.51940442297185,,21685000000.0,CAD,-125314000000.0,CAD,83569000000.0,CAD,19442000000.0,CAD,2243000000.0,CAD,96.6503986397126,CAD,14.1013,CAD,15.4044209333081,CAD,,,,,,,91.02759,CAD,248.9350160589452,CAD,,
TD,Toronto-Dominion Bank,129.16,CAD,1.4930064435014865,5445529.0,1.151117391766,215005260965.0,CAD,11.205774669882528,11.5262,CAD,144.3648236092266,3.32390381895332,Finance,Buy,-0.9585154512690744,-0.3318157265221134,12.892229700201032,28.21123684732976,-0.3318157265221134,55.87738353849867,76.1593016912166,145.87854559299447,2041.512953367876,1.6759355010113592,1.560632372636707,,,,,,0.2278799308502216,74.254362975777,129.16,CAD,0.0,3379200.0,52.52161779311365,0.0764793843490213,1.7467964666021296,1.8778963199425875,,,,498427260965.0,CAD,4.020871740601807,,,4.2,CAD,1.05,CAD,3.3239036,36.40398016849842,2.9411764705882377,20.0,15.0,,19.6264924169087,19.0730880929332,16.568247821878,-3.354307841239109,0.988280707714465,16.9046080654521,11.2989563676975,,,2025-Q4,2025-10-31,123960000000.0,CAD,3.0732388744761527,,,24329000000.0,CAD,20538000000.0,CAD,,,2094558000000.0,CAD,691117000000.0,CAD,,,1966731000000.0,CAD,279309000000.0,CAD,271797000000.0,CAD,127827000000.0,CAD,0.544317336053147,,2.18505480062898,,-2013000000.0,CAD,-6589000000.0,CAD,9643000000.0,CAD,-4158000000.0,CAD,2145000000.0,CAD,72.8533646782251,CAD,11.5372,CAD,-1.18307375844843,CAD,,,,,,,68.77909,CAD,164.1545694975022,CAD,,
ENB,Enbridge Inc.,65.99,CAD,-0.7221302843388054,7241910.0,0.9022224174583928,144989377878.0,CAD,25.74616675119972,2.5631,CAD,-12.703926977963972,5.67173160824432,Industrial services,Buy,-0.7669172932330904,0.3802859750532401,0.7019685640164715,2.4371313256752454,0.3802859750532401,2.484857897188996,49.97727272727272,38.69272803699032,702.9201520912546,1.4809509688026137,1.6909864820382334,,,,,,-0.330976380321948,4.839711378854775,65.99,CAD,0.0,4216200.0,1.9349656419651284,,2.2530282694274786,2.465975590615914,10.697511674449633,28.85825434913017,95.5129913964262,257635377878.0,CAD,3.992984995474412,23.050494576183237,15.3738738440148,3.66,CAD,0.9425,CAD,5.83722,146.0145917053568,3.098591549295784,20.0,19.0,32.8213632559437,17.3227736275999,12.6871454697623,9.33945011003999,7.750844673134745,2.85088445544133,9.20210735282889,3.7793359507294,,15.49858962834382,2025-Q3,2025-09-30,64522000000.0,CAD,33.05974304510115,21177000000.0,CAD,11177000000.0,CAD,6026000000.0,CAD,16758000000.0,CAD,216973000000.0,CAD,12080000000.0,CAD,1511000000.0,CAD,148161000000.0,CAD,103709000000.0,CAD,102198000000.0,CAD,68812000000.0,CAD,0.803138089222791,0.676550761252576,1.59106808628149,0.0145696130519048,13491000000.0,CAD,-11585000000.0,CAD,-2411000000.0,CAD,5001000000.0,CAD,8767000000.0,CAD,29.5025148605396,CAD,2.5753,CAD,6.16872427983539,CAD,2.286694101508916,CAD,5.110653863740284,CAD,7.662551440329218,CAD,26.7602,CAD,47.42066758116141,CAD,0.6909007773205305,CAD
BMO,Bank of Montreal,189.35,CAD,2.14705723687759,3500579.0,1.0305781732502213,131409846274.00002,CAD,16.547812560082498,11.4426,CAD,20.3217665615142,3.51728974483466,Finance,Neutral,0.5309264666843643,5.84125209614309,8.057980939336874,22.477360931435964,5.84125209614309,31.639321468298103,96.40078829996888,154.4342918570277,1065.2307692307693,1.784183881702368,1.7686133327629003,,,,,,-0.0161838485191784,-10.200256220425498,189.35,CAD,0.0,946300.0,25.91176179501517,0.7971742743838436,1.7007491179225294,1.6970893953378483,3.4378760219367286,3.595724168149348,,247776846274.0,CAD,3.179030885849553,,,6.44,CAD,1.63,CAD,3.6036036,56.177324947442806,5.228758169934645,20.0,4.0,,14.2479567878267,14.5943726665042,11.1738366200074,48.3147509013228,0.603440421084869,10.1090533426968,7.03569957102348,,,2025-Q4,2025-10-31,77941000000.0,CAD,-1.3042762533081764,,,11105000000.0,CAD,8709000000.0,CAD,,,1476802000000.0,CAD,446935000000.0,CAD,,,1388702000000.0,CAD,174846000000.0,CAD,107362000000.0,CAD,88100000000.0,CAD,0.562086234304572,,1.98573553963044,,39386000000.0,CAD,-38474000000.0,CAD,1260000000.0,CAD,37657000000.0,CAD,1729000000.0,CAD,108.993147811495,CAD,11.4637,CAD,55.0776115228639,CAD,,,,,,,111.57338,CAD,244.50566354356036,CAD,,
AEM,Agnico Eagle Mines Limited,260.96,CAD,0.8190387884407374,1097211.0,0.9234597410685916,129949732295.0,CAD,27.299926770582697,9.559,CAD,250.71176988552975,0.864085921804976,Non-energy minerals,Buy,-13.01333333333334,11.25037302297821,18.06542098357688,40.81588603496654,11.25037302297821,89.69252017154902,193.01594430720857,498.5321100917431,954.3838383838382,5.184193121442625,4.1748098414056,,,,,,-0.8035852263946779,-45.31686941717597,260.96,CAD,0.0,228400.0,126.23970370848274,0.1080050859278408,8.828920464589261,4.005533087704843,16.10840699184101,25.798393265526837,39.83352881726724,127117790829.8,CAD,8.610917670905177,17.325112334228542,13.252506708742008,2.18696,CAD,0.55178,CAD,0.8642451,23.351349095386155,0.6971111786428044,20.0,10.0,53.0087006445682,49.7019442381249,48.878301922224,32.6042712794256,34.50305085351613,11.2245971756801,15.9351587692731,15.431731157286,,2.3524156176294277,2025-Q3,2025-09-30,14762397654.701698,CAD,38.72056953468164,7825355180.74156,CAD,7337198650.55007,CAD,4813172178.6865,CAD,9591980870.0,CAD,45480570748.2,CAD,6217266364.2,CAD,3298817386.8,CAD,12772295078.4,CAD,466875921.6,CAD,-2831941465.2,CAD,32708275669.800003,CAD,2.11998358423517,1.30577350988979,0.014273938691029,7.06572610447512,8157450796.13127,CAD,-3046602387.66955,CAD,-3172519490.03089,CAD,5093477570.0,CAD,3063973221.31293,CAD,29.3172875481376,CAD,9.5842,CAD,16.2002363195925,CAD,10.115358631605496,CAD,14.571261908213664,CAD,19.049131983818533,CAD,65.14988,CAD,0.9271891980561586,CAD,6.551264920492752,CAD
BNS,Bank of Nova Scotia,102.8,CAD,0.9823182711198428,5845955.0,1.3333154066488202,125855932801.0,CAD,18.244094627930505,5.6347,CAD,-4.201094902920883,4.28290766208252,Finance,Neutral,0.1656435740037043,1.2010238235873192,12.116915694186934,33.85416666666667,1.2010238235873192,37.17640779290099,48.81297046902142,80.79493492789307,1237.2357723577236,1.6585348912459457,1.364029387374314,,,,,,-0.2946954813359501,59.05369668014344,102.8,CAD,0.0,4211300.0,38.58466653055708,,1.753836573721719,1.6521147711917468,12.201925827056916,12.619404456714651,,363944932801.0,CAD,5.036254518798866,,,4.32,CAD,1.1,CAD,4.3222003,73.96500359552101,1.8867924528301905,20.0,4.0,,12.3891233653913,13.7009617380475,10.7479416038193,14.0344565142185,0.540864443019997,9.17895234437321,6.28352304443851,,,2025-Q4,2025-10-31,72265000000.0,CAD,-3.645381938425846,,,8953000000.0,CAD,7767000000.0,CAD,,,1460042000000.0,CAD,474537000000.0,CAD,,,1371455000000.0,CAD,236685000000.0,CAD,226429000000.0,CAD,88587000000.0,CAD,0.612101246164185,,2.7247139271982097,,10489000000.0,CAD,-18999000000.0,CAD,9177000000.0,CAD,10142000000.0,CAD,347000000.0,CAD,58.0441767068273,CAD,5.8406,CAD,8.42489959839357,CAD,,,,,,,62.22328,CAD,190.10843373493972,CAD,,
CM,Canadian Imperial Bank of Commerce,129.63,CAD,3.0117609663064147,3256250.0,1.135446680452544,116604673970.0,CAD,15.12143340410144,8.5726,CAD,17.828327949969065,3.08328035600763,Finance,Buy,1.8703339882121768,3.7787206788887993,10.8327633378933,29.61703829617037,3.7787206788887993,40.29220779220778,135.7980900409277,188.5475792988314,1157.0181818181818,1.953457369870874,1.6312257289965324,,,,,,0.3337571519389714,8.88057560499983,129.63,CAD,0.0,1561800.0,35.06669042815552,0.8233709408877642,1.9101164159055133,2.0795874129374305,9.52589089066918,10.434796766755571,,277443673970.0,CAD,4.50110602005224,,,3.88,CAD,0.97,CAD,3.4011445,44.99907218407868,7.777777777777772,20.0,15.0,,16.9584191826603,17.5570661431886,13.6747838219309,18.856568081896203,0.780852304598172,13.7208620914182,8.08700073875793,,,2025-Q4,2025-10-31,61639000000.0,CAD,-3.1305495748927408,,,10453000000.0,CAD,8429000000.0,CAD,,,1116938000000.0,CAD,200475000000.0,CAD,,,1052525000000.0,CAD,166565000000.0,CAD,154186000000.0,CAD,64413000000.0,CAD,0.321382711141107,,2.59734285580627,,12732000000.0,CAD,-57072000000.0,CAD,52760000000.0,CAD,11623000000.0,CAD,1109000000.0,CAD,65.8808012706095,CAD,8.6224,CAD,13.6081760213079,CAD,,,,,,,62.33448,CAD,178.02747714335186,CAD,,
CNQ,Canadian Natural Resources Limited,49.91,CAD,-1.4220817697017696,4993488.0,0.712939805034802,105467706273.0,CAD,15.79530350022153,3.1598,CAD,-10.296664300922636,4.64151688722102,Energy minerals,Buy,0.1203610832497395,8.311631944444441,12.08174264540758,14.446227929373991,8.311631944444441,11.40625,228.8962108731466,236.78759361148147,3342.972448977128,2.224754834562002,2.9036686681286183,,,,,,-2.8441635394035254,-9.495943664963637,49.91,CAD,0.0,1505100.0,12.330880897256971,,2.745105349421298,2.5720188466987097,7.075899857819905,12.64195486875529,924.8764681415928,124072706273.0,CAD,3.212571043551436,13.752239666703613,6.838599254423194,2.1375,CAD,0.5875,CAD,4.6415167,73.2929827879705,15.540540540540546,20.0,19.0,25.2323865254654,23.3603479972036,20.6597446984801,17.231557960695,21.4054529918956,8.28406049667019,16.5633788795142,12.3626501212116,,1.8720385282618264,2025-Q3,2025-09-30,38621000000.0,CAD,8.057972636467921,9745000000.0,CAD,9022000000.0,CAD,6655000000.0,CAD,18143000000.0,CAD,85589000000.0,CAD,7181000000.0,CAD,113000000.0,CAD,45128000000.0,CAD,18718000000.0,CAD,18605000000.0,CAD,40461000000.0,CAD,0.863827739684831,0.530734993383857,0.462618323817998,0.0060369697617266,14770000000.0,CAD,-15901000000.0,CAD,523000000.0,CAD,8267000000.0,CAD,6642000000.0,CAD,18.4437365985511,CAD,3.1722,CAD,7.05351983533828,CAD,3.947965367551899,CAD,4.3085210531091365,CAD,8.664320268960216,CAD,19.40499,CAD,8.938915658623012,CAD,0.0539639635337322,CAD
ABX,Barrick Mining Corporation,63.37,CAD,1.8155526992287845,6910696.0,1.337477974962689,105025884903.0,CAD,21.86378691691968,2.8984,CAD,129.55805480754,1.17521047557841,Non-energy minerals,Strong buy,-11.912705031971088,4.691888319841396,40.29222935576709,103.6965605914497,4.691888319841396,160.24640657084186,123.29105003523608,324.4474212993972,50.88095238095237,5.675101836390407,3.85238021320816,,,,,,-0.353470437017993,-4.888644214756603,63.37,CAD,0.0,2319800.0,197.66266141862977,0.1657474456186087,5.2027290599080365,3.0557696035552437,11.735829555703567,25.977478572784403,15.398357744183626,116773475103.0,CAD,5.73180204018488,13.013380973015094,10.033424684930692,0.55516,CAD,0.243959,CAD,0.8714171,25.236371791333145,2.2535340977114697,20.0,1.0,45.1885090363964,44.0454487037663,43.5242469891075,24.4863151680493,20.39146075300168,7.6012424910299,14.849555367518,12.4692312176044,,1.1430603326301052,2025-Q3,2025-09-30,20372907906.5043,CAD,21.76360762784542,9206213330.30742,CAD,8973338701.42491,CAD,4988574438.88309,CAD,11638446370.0,CAD,67283929800.0,CAD,12451638600.0,CAD,7008481800.0,CAD,20093207400.0,CAD,6559059600.0,CAD,-449422200.0,CAD,47190722400.0,CAD,2.94375,2.32861842105263,0.1874353876739559,1.0685193042002543,9195695071.04436,CAD,-3114611308.1241403,CAD,-4893047810.98631,CAD,4154333520.0,CAD,5041361552.873079,CAD,11.9629523819755,CAD,2.8984,CAD,5.39970350619164,CAD,2.4394207398708163,CAD,5.269136054022313,CAD,6.834084773928361,CAD,20.73782,CAD,3.851473634762184,CAD,4.115373928361715,CAD
CP,Canadian Pacific Kansas City Limited,102.61,CAD,1.3732463939932824,1597499.0,0.904688065341914,91182138989.0,CAD,22.718416507992732,4.5166,CAD,13.556594760396251,0.863465718237503,Transportation,Strong buy,2.898114721219415,1.013979129749952,2.6818773141198764,-1.0129268763264492,1.013979129749952,-11.390328151986182,17.432305614685617,205.51420234621568,1854.4761904761904,2.789232488195036,2.582042921260701,,,,,,-0.8792728709741163,-33.32622424189052,102.61,CAD,0.0,446100.0,-16.358624266085336,1.6531188904077003,6.031041782729796,2.0076015334546127,17.363877189677904,42.501071461503,501.0044782608696,115134138989.0,CAD,7.635902572556042,20.29868458903385,14.969982965674165,0.874,CAD,0.228,CAD,0.90100765,19.35083912677678,15.0,20.0,1.0,40.3236503515055,37.6177211831808,36.3576071096962,27.463854622629,14.385196975726226,4.75029682185527,8.83234331175549,6.19099233788077,,2.7059291683247118,2025-Q4,2025-12-31,15078000000.0,CAD,3.6573628488931664,6080000000.0,CAD,5672000000.0,CAD,4141000000.0,CAD,7691000000.0,CAD,85945000000.0,CAD,2939000000.0,CAD,184000000.0,CAD,39120000000.0,CAD,23188000000.0,CAD,23004000000.0,CAD,46825000000.0,CAD,0.490569187114004,0.406776831914538,0.505438454999237,0.0079351388649301,5309000000.0,CAD,-2665000000.0,CAD,-3146000000.0,CAD,2169000000.0,CAD,3140000000.0,CAD,16.7831700801425,CAD,4.5211,CAD,5.90939447907391,CAD,2.414292074799644,CAD,6.313446126447017,CAD,8.560774710596617,CAD,51.11074,CAD,25.81032947462155,CAD,0.2048085485307212,CAD
