Symbol,Description,Price,Price - Currency,Price Change % 1 day,Performance % 1 week,Performance % 1 month,Performance % 3 months,Performance % 6 months,Performance % Year to date,Performance % 1 year,Performance % 5 years,Performance % 10 years,Performance % All Time,Volatility 1 week,Volatility 1 month
RY,Royal Bank of Canada,236,CAD,0.8719439220379518,2.657792857453571,1.9042272982425823,12.97812245679545,24.30211734962603,0.4041693256753834,37.97942001870908,115.68269055017365,236.51789533723087,2793.4865900383143,1.0552711115198818,1.323394277024901
TD,Toronto-Dominion Bank,132.79,CAD,1.1579187933267172,2.9379844961240247,3.5399610136452178,15.379268398644529,29.437567014328874,2.4693263369087033,55.76539589442814,74.15081967213114,154.58205521472394,2101.699481865285,1.0035699263818398,1.360088111328185
AEM,Agnico Eagle Mines Limited,311.56,CAD,1.317030340476736,8.463011314186248,5.778502071026,40.913613749434646,65.64410654473922,32.821758963209284,123.4686558599914,310.75807514831905,544.6513552658804,1158.828282828283,3.5155369794357876,4.301944715048031
ENB,Enbridge Inc.,70.55,CAD,-0.14154281670206442,-1.3010632344711903,7.792207792207783,3.856911526571456,5.64540281521413,7.3167021600243425,17.58333333333333,60.889395667046735,59.94105644978463,758.4030418250951,1.9849086120140822,1.7352656001777869
BMO,Bank of Montreal,199.76,CAD,1.5298602287166407,4.943525085369055,7.4267276149502575,17.512794870286477,27.300535304613817,11.66014533258803,39.458251884948325,97.29382716049383,170.82429501084596,1129.2923076923078,1.4578307390472074,1.6609111861779646
BNS,Bank of Nova Scotia,105.75,CAD,1.351351351351348,2.7696793002915396,4.434129962472837,12.787969283276444,34.1664552144126,4.105138806851744,46.26556016597511,48.0470390592188,89.61807423345884,1275.6097560975609,1.1484445896060493,1.4028888453037012
CM,Canadian Imperial Bank of Commerce,136.25,CAD,1.323715326838701,5.187987338840422,9.139698814482534,16.115561615817278,33.801433762152605,9.07853654631335,55.376895883225,137.39001655196444,202.2069424420539,1221.2121212121212,1.2521517566020113,1.528143775244977
CNQ,Canadian Natural Resources Limited,58,CAD,-0.3949854027133727,6.676475997792905,20.30699025098527,21.36430215526261,38.06236610330874,25.86805555555556,34.53954998840177,229.17139614074912,315.45011710142023,3901.049930688708,2.8118389757731452,2.4549704755746524
ABX,Barrick Mining Corporation,65.6,CAD,-1.4423076923077043,4.093938432243718,-6.285714285714294,28.778955634079303,86.04651162790697,8.376011894928123,146.06151537884472,159.3910636615263,281.1737361998837,56.19047619047618,4.116275907993392,4.496766103685101
CP,Canadian Pacific Kansas City Limited,116.44,CAD,0.37931034482758424,2.2120786516853896,19.291056244237268,18.889115785174596,14.14567199294186,14.628863949596377,4.60875033689695,25.452508188243403,238.03634674563085,2117.904761904762,1.5198492268653885,2.1192611238236214
WPM,Wheaton Precious Metals Corp,205.65,CAD,3.2898041185334064,7.064764681382753,2.8301415070753517,46.68330955777463,57.87655458314143,25.411635565312856,108.46426761277242,327.1028037383178,846.3874827427519,31538.46153846154,2.875254098408756,4.261733002109275
CNR,Canadian National Railway Company,151.19,CAD,0.840392183018736,3.9892702386684173,11.81038307942612,15.694827058463414,15.5003819709702,11.38205392662442,4.268965517241377,10.052409375454944,93.83333333333333,3422.856274733858,1.9513568240984553,2.1166805249548277
SU,Suncor Energy Inc.,76.23,CAD,-1.9801980198019702,1.667111229661243,10.174880763116068,21.17310443490702,39.69213853765806,25.172413793103456,34.920353982300895,216.3070539419087,136.37209302325581,2656.3389830508477,2.483479791507826,2.3764213034212793
TRP,TC Energy Corporation,85.34,CAD,-0.33866635524931926,1.1616880037932718,13.18302387267904,10.989725582000263,19.02370990237099,12.823902696985725,30.889570552147237,51.258419000354486,71.57217531162043,349.1578947368421,1.7922781892096873,1.8940062357577259
MFC,Manulife Financial Corporation,50.16,CAD,1.1902360298567607,2.2213164866517143,-1.123595505617978,4.608967674661092,19.71360381861575,0.25984409354386456,14.52054794520548,103.81958553433562,182.43243243243236,468.38526912181294,1.47538689904508,1.9698596251607978
IMO,Imperial Oil Limited,164.96,CAD,-1.7919866642852837,4.0363269424823445,20.991638550682122,19.19936411590435,39.79661016949154,39.03076274757691,58.61538461538463,514.6050670640834,296.53846153846155,2643.038517109653,2.8138945710839662,2.937142940404618
L,Loblaw Companies Limited,67.26,CAD,-1.924759405074356,-1.0445784905105102,8.64157648199,8.274307791371552,14.582623509369679,8.483870967741943,53.13335989527009,335.2693738877204,408.69762517017097,2889.363226965603,1.7033888426898027,2.216348579037957
ATD,Alimentation Couche-Tard Inc.,83.8,CAD,-0.4040884240551502,0.9638554216867435,14.013605442176868,19.79985704074338,19.06791702188122,11.391732021799804,17.055454672440273,119.94750656167979,176.61330252516916,17777.333333333332,1.8289978260911959,2.8063609973652697
CCO,Cameco Corporation,165.86,CAD,1.6859787873214394,7.006451612903235,0.5212121212121295,43.825875823794675,62.52817246447822,30.27018535972355,140.37681159420293,697.02066314272,911.9585112873706,1326.7669251581349,4.554597287243105,5.23491984273941
NA,National Bank of Canada,178.7,CAD,1.2292528182178595,3.1516970676518006,6.83326358581932,10.240592227020356,18.20346606694006,3.4143518518518383,44.11290322580644,137.82273090231564,365.8498435870698,2909.684210526316,1.573686526792892,1.5701509821520616
FNV,Franco-Nevada Corporation,356.43,CAD,2.0178602095139992,8.00581800551499,-0.09809966926396264,33.47438585979628,41.58655755938667,24.230594960092006,78.68852459016394,150.47786366830638,356.2596006144393,2244.934210526316,2.7703112427092975,4.03383209919443
CVE,Cenovus Energy Inc.,30.88,CAD,-2.5252525252525277,6.299483648881234,24.315619967793875,21.38364779874213,39.7285067873303,32.70305113880533,44.70477975632614,252.5114155251141,111.65181631254283,6.482758620689651,4.120049429963295,3.1065052101623567
GWO,Great-West Lifeco Inc.,63.84,CAD,0.12547051442911764,4.228571428571434,-1.7543859649122815,1.076630778974045,17.008797653958947,-5.70162481536189,22.911051212938016,102.98887122416535,83.29026701119726,1547.483870967742,1.914675399963981,1.7621540937876627
WCN,"Waste Connections, Inc.",223.74,CAD,-1.6570700189002603,4.302829704908871,-1.4361233480176172,-8.472080179995903,-13.836792852466594,-7.026802410139204,-16.371383718322495,77.89615965651588,293.5615760630129,1257.9528184531064,2.340262782579761,2.385028658369448
