Symbol,Description,"Dividends per share, Annual","Dividends per share, Annual - Currency","Dividends per share, Quarterly","Dividends per share, Quarterly - Currency","Dividend yield %, Trailing 12 months",Dividend yield % (indicated),"Dividend payout ratio %, Trailing 12 months","Dividends per share growth %, Annual YoY",Continuous dividend payout,Continuous dividend growth
RY,Royal Bank of Canada,6.04,CAD,1.54,CAD,2.6271186440678,2.779661,42.83293029720664,7.857142857142866,36,15
TD,Toronto-Dominion Bank,4.2,CAD,1.05,CAD,3.18548083440018,3.1854808,36.40398016849842,2.9411764705882377,46,15
AEM,Agnico Eagle Mines Limited,2.2366,CAD,0.55862,CAD,0.717871357041982,0.7180036,18.029681340738893,2.2698174635109982,37,11
ENB,Enbridge Inc.,3.77,CAD,0.9425,CAD,5.34372785258682,5.4996457,116.62799690641918,3.005464480874313,35,32
BMO,Bank of Montreal,6.44,CAD,1.63,CAD,3.26391670004005,3.3440127,56.177324947442806,5.228758169934645,36,4
BNS,Bank of Nova Scotia,4.32,CAD,1.1,CAD,4.12293144208038,4.1607566,73.96500359552101,1.8867924528301903,46,4
CM,Canadian Imperial Bank of Commerce,3.88,CAD,0.97,CAD,2.84770642201835,3.1412847,44.99907218407868,7.777777777777772,38,15
CNQ,Canadian Natural Resources Limited,2.1375,CAD,0.5875,CAD,4.05172413793103,4.051724,73.2929827879705,15.540540540540546,24,23
ABX,Barrick Mining Corporation,1.161893,CAD,0.574497,CAD,1.11501676829268,0.8267836,28.31123294346979,109.28975430506523,39,2
CP,Canadian Pacific Kansas City Limited,0.874,CAD,0.228,CAD,0.750601167983511,0.78323597,19.35083912677678,15,25,1
WPM,Wheaton Precious Metals Corp,0.849926,CAD,0.229292,CAD,0.450109409190372,0.39904207,29.532818282152828,4.27746600872081,14,9
CNR,Canadian National Railway Company,3.55,CAD,0.8875,CAD,2.34803889146108,2.420795,46.89502120183352,5.029585798816566,30,29
SU,Suncor Energy Inc.,2.31,CAD,0.6,CAD,3.03030303030303,3.148367,47.5719757815396,4.761904761904761,33,4
TRP,TC Energy Corporation,3.4,CAD,0.85,CAD,3.98406374501992,4.11296,104.02961784413915,-8.17015530047266,36,0
MFC,Manulife Financial Corporation,1.76,CAD,0.44,CAD,3.50877192982456,3.8676236,56.959772160911356,9.999999999999995,26,4
IMO,Imperial Oil Limited,2.88,CAD,0.72,CAD,1.7458777885548,2.1096022,44.86889868664994,20,35,31
L,Loblaw Companies Limited,0.49625,CAD,0.141075,CAD,0.819922688076122,0.83853704,26.01318394745738,13.884107860011474,35,13
ATD,Alimentation Couche-Tard Inc.,0.76,CAD,0.215,CAD,0.954653937947494,1.026253,20.794884458423226,14.285714285714283,20,19
CCO,Cameco Corporation,0.24,CAD,0.24,CAD,0.144700349692512,0.14470035,17.722640673460344,49.999999999999986,35,2
NA,National Bank of Canada,4.64,CAD,1.18,CAD,2.65249020705092,2.7756016,45.444306239777475,7.407407407407393,36,4
FNV,Franco-Nevada Corporation,1.974888,CAD,0.525977,CAD,0.594750161321999,0.60643464,31.431941923774957,7.216253059908244,17,16
CVE,Cenovus Energy Inc.,0.78,CAD,0.2,CAD,2.5259067357513,2.5906737,36.046028004990994,14.705882352941172,17,5
GWO,Great-West Lifeco Inc.,2.44,CAD,0.61,CAD,3.82205513784461,5.3781857,56.883086606830624,9.909909909909898,35,11
WCN,"Waste Connections, Inc.",1.816053,CAD,0.494392,CAD,0.811680075087155,0.81248945,31.16938418234244,13.2769709524157,24,8
K,Kinross Gold Corporation,,,,,0.383621857923497,0.35643277,0,,5,4
FFH,Fairfax Financial Holdings Limited,20.838751,CAD,20.838751,CAD,0.891348651989615,0.92323637,6.710064992355734,-3.4538982570114034,25,0
CSU,Constellation Software Inc.,5.5225,CAD,1.37745,CAD,0.223493074658559,0.23114231,12.77419751092468,3.3634049562027313,18,3
DOL,Dollarama Inc.,0.368,CAD,0.1058,CAD,0.220313394762872,0.22020929,8.67464773810785,29.943502824858754,14,13
TRI,Thomson Reuters Corporation,3.335302,CAD,0.833863,CAD,2.92596017194491,2.568636,71.41668451029935,12.728097409888212,34,4
SLF,Sun Life Financial Inc.,3.52,CAD,0.92,CAD,3.87494495816821,4.0510793,57.14564020975047,8.64197530864197,26,11
NTR,Nutrien Ltd.,3.033907,CAD,0.747059,CAD,3.11393513291594,3.190007,46.924553398809074,1.89516030171833,8,4
IFC,Intact Financial Corporation,5.32,CAD,1.33,CAD,2.03084440372576,2.2446177,28.931597437487085,9.917355371900834,21,20
CLS,Celestica Inc.,0,CAD,0,CAD,0,,0,,0,0
POW,Power Corporation of Canada,2.25,CAD,0.6125,CAD,3.7126837399606,3.712684,49.820438835032064,7.142857142857138,35,3
TECK.A,Teck Resources Limited Class A,0.5,CAD,0.125,CAD,0.614628149969269,0.61462814,17.602534765006162,0,16,0
QSP.UN,Restaurant Brands International LP,3.44689,CAD,0.850051,CAD,3.75457763738358,3.6310573,108.80334595959596,7.640031752792886,11,4
FTS,Fortis Inc.,2.485,CAD,0.64,CAD,3.22769190804001,3.3251073,73.01092960394875,4.192872117400424,36,33
WN,George Weston Limited,1.05767,CAD,0.297933,CAD,1.17040312876053,1.1953471,29.873006327459077,13.362272240085751,45,13
PAAS,Pan American Silver Corp.,0.646949,CAD,0.197589,CAD,0.730273168529179,0.650254,18.500114383757506,17.943393646597684,16,2
PPL,Pembina Pipeline Corporation,2.7375,CAD,0.71,CAD,4.72203616878768,4.7555256,99.80395651399037,3.1073446327683625,27,3
