Symbol,Description,"Gross margin %, Trailing 12 months","Operating margin %, Trailing 12 months","Pretax margin %, Trailing 12 months","Net margin %, Trailing 12 months","Free cash flow margin %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Return on invested capital %, Trailing 12 months","Research & development ratio, Trailing 12 months","Selling, general & admin expenses ratio, Trailing 12 months"
RY,Royal Bank of Canada,,17.843388016699,18.7996119245017,14.9658963956018,14.289704239430822,0.905664472706861,15.2993639666242,9.90687672112643,,
TD,Toronto-Dominion Bank,,19.6264924169087,19.0730880929332,16.568247821878,-3.354307841239109,0.988280707714465,16.9046080654521,11.2989563676975,,
AEM,Agnico Eagle Mines Limited,56.3552960201827,53.4222536245704,56.6011628932955,37.4484416750331,36.778941850642106,13.7762477721325,19.4916726548081,18.8840081607853,,1.9834534192450202
ENB,Enbridge Inc.,32.7402298850575,17.4360153256705,15.0084291187739,11.4804597701149,6.096551724137931,3.42486421243211,11.6834200244867,4.65373444950068,,15.304214559386972
BMO,Bank of Montreal,,14.2479567878267,14.5943726665042,11.1738366200074,48.314750901322796,0.603440421084869,10.1090533426968,7.03569957102348,,
BNS,Bank of Nova Scotia,,12.3891233653913,13.7009617380475,10.7479416038193,14.034456514218501,0.540864443019997,9.17895234437321,6.28352304443851,,
CM,Canadian Imperial Bank of Commerce,,16.9584191826603,17.5570661431886,13.6747838219309,18.856568081896203,0.780852304598172,13.7208620914182,8.08700073875793,,
CNQ,Canadian Natural Resources Limited,25.2323865254654,23.3603479972036,20.6597446984801,17.231557960695,21.4054529918956,8.28406049667019,16.5633788795142,12.3626501212116,,1.8720385282618264
ABX,Barrick Mining Corporation,48.1608857393733,46.8449360705387,49.5164054998484,29.5502208414952,24.4854550710879,9.98742106404111,19.4877856150853,16.4572092739321,,1.315949668834545
CP,Canadian Pacific Kansas City Limited,40.3236503515055,37.6177211831808,36.3576071096962,27.463854622629,14.385196975726226,4.75029682185527,8.83234331175549,6.19099233788077,,2.7059291683247113
WPM,Wheaton Precious Metals Corp,68.5076679264467,64.0669907540971,63.9659168511553,54.6185065872233,37.789056944031486,12.8871949634495,13.2723352087038,13.2612940574532,,4.440677172349677
CNR,Canadian National Railway Company,44.8682385575589,38.0663430420712,36.1997226074896,27.2769301895516,19.596625057790106,8.16453616093823,22.14974541871,11.3317168031114,,6.801895515487749
SU,Suncor Energy Inc.,43.4346119244295,16.3470188926147,16.250920094872,12.1002698944958,14.159237752514924,6.5866430713924,13.2042214239497,10.2029205385928,,27.087593031814837
TRP,TC Energy Corporation,49.9769509384261,44.1751728679618,35.8511689166941,24.5702996378005,13.704313467237405,3.14860291821734,13.5952046932789,4.41058256099868,,
MFC,Manulife Financial Corporation,,14.1854784504664,11.6296988475221,9.13457597665536,52.63201036082559,0.556018183351287,11.0235130028785,8.6934814491216,,
IMO,Imperial Oil Limited,12.1997653465566,9.13156088814115,9.43483939521395,7.23440993513825,10.411086268346136,7.66713198118409,14.2935246134669,12.1059455454714,,3.0682044584154253
