Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total revenue, Trailing 12 months","Total revenue, Trailing 12 months - Currency","Revenue growth %, TTM YoY","Gross profit, Trailing 12 months","Gross profit, Trailing 12 months - Currency","Operating income, Trailing 12 months","Operating income, Trailing 12 months - Currency","Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY"
RY,Royal Bank of Canada,2025-Q4,2025-10-31,136056000000,CAD,2.131876050924814,,,24277000000,CAD,20362000000,CAD,,,14.0739,CAD,25.132477416601475
TD,Toronto-Dominion Bank,2025-Q4,2025-10-31,123960000000,CAD,3.0732388744761527,,,24329000000,CAD,20538000000,CAD,,,11.5262,CAD,144.3648236092266
AEM,Agnico Eagle Mines Limited,2025-Q4,2025-12-31,16623942077.586597,CAD,46.35676313398885,9368471768.04765,CAD,8880884499.090012,CAD,6225407253.016311,CAD,11180858300,CAD,12.3868,CAD,138.9890025081999
ENB,Enbridge Inc.,2025-Q4,2025-12-31,65250000000,CAD,21.76460708753989,21363000000,CAD,11377000000,CAD,7491000000,CAD,17038000000,CAD,3.2325,CAD,37.87587971849008
BMO,Bank of Montreal,2025-Q4,2025-10-31,77941000000,CAD,-1.3042762533081764,,,11105000000,CAD,8709000000,CAD,,,11.4426,CAD,20.321766561514202
BNS,Bank of Nova Scotia,2025-Q4,2025-10-31,72265000000,CAD,-3.645381938425846,,,8953000000,CAD,7767000000,CAD,,,5.6347,CAD,-4.201094902920883
CM,Canadian Imperial Bank of Commerce,2025-Q4,2025-10-31,61639000000,CAD,-3.1305495748927408,,,10453000000,CAD,8429000000,CAD,,,8.5726,CAD,17.828327949969065
CNQ,Canadian Natural Resources Limited,2025-Q3,2025-09-30,38621000000,CAD,8.057972636467921,9745000000,CAD,9022000000,CAD,6655000000,CAD,18143000000,CAD,3.1598,CAD,-10.296664300922636
ABX,Barrick Mining Corporation,2025-Q4,2025-12-31,23522631918.738102,CAD,32.726093966156974,11328707881.2768,CAD,11019161884.441,CAD,6950989679.719151,CAD,13817699500,CAD,4.104,CAD,143.11355962324507
CP,Canadian Pacific Kansas City Limited,2025-Q4,2025-12-31,15078000000,CAD,3.6573628488931664,6080000000,CAD,5672000000,CAD,4141000000,CAD,7691000000,CAD,4.5166,CAD,13.556594760396253
