Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total assets, Quarterly","Total assets, Quarterly - Currency","Total current assets, Quarterly","Total current assets, Quarterly - Currency","Cash and short term investments, Quarterly","Cash and short term investments, Quarterly - Currency","Total liabilities, Quarterly","Total liabilities, Quarterly - Currency","Total debt, Quarterly","Total debt, Quarterly - Currency","Net debt, Quarterly","Net debt, Quarterly - Currency","Total equity, Quarterly","Total equity, Quarterly - Currency","Current ratio, Quarterly","Quick ratio, Quarterly","Debt to equity ratio, Quarterly","Cash to debt ratio, Quarterly"
RY,Royal Bank of Canada,2025-Q4,2025-10-31,2325006000000,CAD,827184000000,CAD,,,2185855000000,CAD,350429000000,CAD,313405000000,CAD,139151000000,CAD,0.636857288700107,,2.51940442297185,
TD,Toronto-Dominion Bank,2025-Q4,2025-10-31,2094558000000,CAD,691117000000,CAD,,,1966731000000,CAD,279309000000,CAD,271797000000,CAD,127827000000,CAD,0.544317336053147,,2.18505480062898,
AEM,Agnico Eagle Mines Limited,2025-Q4,2025-12-31,47251522138.25,CAD,6845445996.5,CAD,3940781511.75,CAD,13335789610.25,CAD,440655002.5,CAD,-3500126509.25,CAD,33915732528,CAD,2.02003473820547,1.33286303811252,0.0129926429316013,8.94300867888139
ENB,Enbridge Inc.,2025-Q4,2025-12-31,218475000000,CAD,13195000000,CAD,1177000000,CAD,152551000000,CAD,105918000000,CAD,104741000000,CAD,65924000000,CAD,0.628213673585984,0.551037897543325,1.69922833811946,0.011112369946562435
BMO,Bank of Montreal,2025-Q4,2025-10-31,1476802000000,CAD,446935000000,CAD,,,1388702000000,CAD,174846000000,CAD,107362000000,CAD,88100000000,CAD,0.562086234304572,,1.98573553963044,
BNS,Bank of Nova Scotia,2025-Q4,2025-10-31,1460042000000,CAD,474537000000,CAD,,,1371455000000,CAD,236685000000,CAD,226429000000,CAD,88587000000,CAD,0.612101246164185,,2.7247139271982097,
CM,Canadian Imperial Bank of Commerce,2025-Q4,2025-10-31,1116938000000,CAD,200475000000,CAD,,,1052525000000,CAD,166565000000,CAD,154186000000,CAD,64413000000,CAD,0.321382711141107,,2.59734285580627,
CNQ,Canadian Natural Resources Limited,2025-Q3,2025-09-30,85589000000,CAD,7181000000,CAD,113000000,CAD,45128000000,CAD,18718000000,CAD,18605000000,CAD,40461000000,CAD,0.863827739684831,0.530734993383857,0.462618323817998,0.0060369697617266805
ABX,Barrick Mining Corporation,2025-Q4,2025-12-31,70699172750,CAD,14004952750,CAD,9192249500,CAD,21467315750,CAD,6446637250,CAD,-2745612250,CAD,49231857000,CAD,2.92164712610809,2.33028309979983,0.177090785856836,1.4258983627471826
CP,Canadian Pacific Kansas City Limited,2025-Q4,2025-12-31,85945000000,CAD,2939000000,CAD,184000000,CAD,39120000000,CAD,23188000000,CAD,23004000000,CAD,46825000000,CAD,0.490569187114004,0.406776831914538,0.505438454999237,0.007935138864930136
WPM,Wheaton Precious Metals Corp,2025-Q3,2025-09-30,11714917345.199999,CAD,1674113000.3999999,CAD,1610832128.4,CAD,454655255.4,CAD,11122851.600000001,CAD,-1599709276.8,CAD,11260262089.800001,CAD,8.08902603820012,8.08902603820012,0.0009877968657652759,144.82186639979983
CNR,Canadian National Railway Company,2025-Q4,2025-12-31,58555000000,CAD,2471000000,CAD,363000000,CAD,36987000000,CAD,21522000000,CAD,21159000000,CAD,21568000000,CAD,0.668560606060606,0.469967532467532,0.9978672106824931,0.016866462224700306
SU,Suncor Energy Inc.,2025-Q4,2025-12-31,89913000000,CAD,14229000000,CAD,3650000000,CAD,44789000000,CAD,14504000000,CAD,10854000000,CAD,45124000000,CAD,1.39363369245837,0.892066601371205,0.321425405549153,0.2516547159404302
TRP,TC Energy Corporation,2025-Q4,2025-12-31,118751000000,CAD,6316000000,CAD,261000000,CAD,81852000000,CAD,60567000000,CAD,60306000000,CAD,36899000000,CAD,0.634200220905713,0.555678280951903,2.21897783476827,0.004309277329238695
MFC,Manulife Financial Corporation,2025-Q4,2025-12-31,1025433000000,CAD,91975000000,CAD,,,972945000000,CAD,14675000000,CAD,-237000000,CAD,51652000000,CAD,38.9724576271186,,0.292791444703817,
IMO,Imperial Oil Limited,2025-Q4,2025-12-31,42309000000,CAD,8417000000,CAD,1142000000,CAD,20055000000,CAD,4233000000,CAD,3091000000,CAD,22254000000,CAD,1.27221886336155,0.833282950423216,0.19021299541655398,0.269785022442712
L,Loblaw Companies Limited,2025-Q3,2025-09-30,41563000000,CAD,14973000000,CAD,2245000000,CAD,30007000000,CAD,19924000000,CAD,17679000000,CAD,11556000000,CAD,1.35001352447931,0.741411955639708,1.75109861135525,0.11267817707287693
ATD,Alimentation Couche-Tard Inc.,2025-Q2,2025-10-31,56920597830,CAD,10928409540,CAD,3068938845,CAD,35177972475,CAD,21889605990,CAD,18820667145,CAD,21742625355,CAD,0.947243138207433,0.655768763662861,1.01564165908204,0.14020073483287032
CCO,Cameco Corporation,2025-Q4,2025-12-31,10301282000,CAD,2639215000,CAD,1214463000,CAD,3397904000,CAD,1011281000,CAD,-203182000,CAD,6903378000,CAD,2.46612738346418,1.67748970739666,0.146491065296726,1.200915472554117
NA,National Bank of Canada,2025-Q4,2025-10-31,576919000000,CAD,218952000000,CAD,,,543150000000,CAD,82083000000,CAD,54167000000,CAD,33769000000,CAD,0.862453765888975,,2.43072048328348,
FNV,Franco-Nevada Corporation,2025-Q3,2025-09-30,10459014660,CAD,754277940,CAD,329344380,CAD,720188640,CAD,11826900,CAD,-317517480,CAD,9738826020,CAD,4.63729683490162,4.63301967493584,0.00121440715500121,27.847058823529412
CVE,Cenovus Energy Inc.,2025-Q4,2025-12-31,63424000000,CAD,9890000000,CAD,2740000000,CAD,31786000000,CAD,14207000000,CAD,11467000000,CAD,31638000000,CAD,1.56636046879949,1.03595185302502,0.449275820631206,0.19286267333004856
GWO,Great-West Lifeco Inc.,2025-Q4,2025-12-31,862828000000,CAD,62228000000,CAD,,,831325000000,CAD,11011000000,CAD,2109000000,CAD,31503000000,CAD,7.10527517698105,,0.388299185386324,
WCN,"Waste Connections, Inc.",2025-Q4,2025-12-31,29154219936.75,CAD,1797824982.25,CAD,63010636,CAD,17851863931,CAD,12536491577.75,CAD,12473480941.75,CAD,11302356005.75,CAD,0.617420834822086,0.580295924088424,1.10919277107995,0.0050261778272824315
K,Kinross Gold Corporation,2025-Q4,2025-12-31,17012515325,CAD,4507711375,CAD,2406762850,CAD,5095077750,CAD,1039713874.9999999,CAD,-1367048975,CAD,11917437575,CAD,2.34959988568162,1.37053443841097,0.08844449626865669,2.314831905075808
FFH,Fairfax Financial Holdings Limited,2025-Q4,2025-12-31,147749989775,CAD,32844951975.000004,CAD,,,105429317200,CAD,18701005175,CAD,2657610100,CAD,42320672575,CAD,,,0.514548752937094,
CSU,Constellation Software Inc.,2025-Q3,2025-09-30,21324596400,CAD,8050640400,CAD,4317514200,CAD,15615682200,CAD,7571998800,CAD,3254484600,CAD,5708914200,CAD,1.01597892888499,1.00298507462687,1.56875180167195,0.5701947813303933
DOL,Dollarama Inc.,2025-Q3,2025-10-31,7400996000,CAD,1495368000,CAD,205521000,CAD,6102973000,CAD,5388457000,CAD,5182936000,CAD,1298023000,CAD,1.08842218349994,0.230359724169254,4.15128006206362,0.03814097430860077
TRI,Thomson Reuters Corporation,2025-Q4,2025-12-31,24591255000,CAD,3054031000,CAD,700453250,CAD,8260139499.999999,CAD,2910102250,CAD,2209649000,CAD,16331115500,CAD,0.642445213379469,,0.178193721671983,0.2406971267074894
SLF,Sun Life Financial Inc.,2025-Q4,2025-12-31,398455000000,CAD,27493000000,CAD,,,372963000000,CAD,21303000000,CAD,11618000000,CAD,25492000000,CAD,1.03915787882224,,0.868375998695581,
NTR,Nutrien Ltd.,2025-Q4,2025-12-31,71691595750,CAD,20217191750,CAD,960895750,CAD,36922522000,CAD,16475044249.999998,CAD,15514148500,CAD,34769073750,CAD,1.33583914500498,0.70392174621864,0.474627808711448,0.05832431982694068
IFC,Intact Financial Corporation,2025-Q4,2025-12-31,62868000000,CAD,11466000000,CAD,,,42032000000,CAD,5252000000,CAD,3849000000,CAD,20836000000,CAD,0.828169014084507,,0.252063735841812,
CLS,Celestica Inc.,2025-Q4,2025-12-31,9887356825,CAD,7776538900,CAD,816418700,CAD,6849363600,CAD,1064387375,CAD,247968675,CAD,3037993225,CAD,1.44004467458625,0.88465834094832,0.35035870595136,0.7670315518351578
POW,Power Corporation of Canada,2025-Q3,2025-09-30,916880000000,CAD,33003000000,CAD,,,871707000000,CAD,20883000000,CAD,6696000000,CAD,45173000000,CAD,,,0.847146160399172,
TECK.A,Teck Resources Limited Class A,2025-Q4,2025-12-31,45436000000,CAD,11164000000,CAD,5012000000,CAD,19429000000,CAD,9607000000,CAD,4595000000,CAD,26007000000,CAD,2.53554394730865,1.91142402907109,0.38281000956327704,0.5217029249505569
QSP.UN,Restaurant Brands International LP,2025-Q4,2025-12-31,35111761250,CAD,3879222500,CAD,1594182250,CAD,28040062000,CAD,21491989250,CAD,19897807000,CAD,7071699250,CAD,0.978900034590107,0.907990314769976,3.0403335272445204,0.07417564895720391
FTS,Fortis Inc.,2025-Q4,2025-12-31,76479000000,CAD,3805000000,CAD,367000000,CAD,50610000000,CAD,34694000000,CAD,34327000000,CAD,25869000000,CAD,0.5064554771729,0.420071875415946,1.45711885762285,0.01057819795930132
WN,George Weston Limited,2025-Q3,2025-09-30,52055000000,CAD,15579000000,CAD,2444000000,CAD,39047000000,CAD,23064000000,CAD,20620000000,CAD,13008000000,CAD,1.41601526995092,0.8023086711507,4.04844655081622,0.10596600763094
PAAS,Pan American Silver Corp.,2025-Q4,2025-12-31,13353846500,CAD,3010167000,CAD,1808019250,CAD,3757225750,CAD,1167879000,CAD,-640140250,CAD,9596620750,CAD,2.68788249694002,1.96817625458996,0.12176647134486202,1.5481220657276995
PPL,Pembina Pipeline Corporation,2025-Q3,2025-09-30,35445000000,CAD,1336000000,CAD,149000000,CAD,18444000000,CAD,13290000000,CAD,13141000000,CAD,17001000000,CAD,0.534613845538215,0.41296518607443,0.781718722428092,0.011211437170805116
