Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Cash from operating activities, Trailing 12 months","Cash from operating activities, Trailing 12 months - Currency","Cash from investing activities, Trailing 12 months","Cash from investing activities, Trailing 12 months - Currency","Cash from financing activities, Trailing 12 months","Cash from financing activities, Trailing 12 months - Currency","Free cash flow, Trailing 12 months","Free cash flow, Trailing 12 months - Currency","Capital expenditures, Trailing 12 months","Capital expenditures, Trailing 12 months - Currency"
RY,Royal Bank of Canada,2025-Q4,2025-10-31,21685000000,CAD,-125314000000,CAD,83569000000,CAD,19442000000,CAD,2243000000,CAD
TD,Toronto-Dominion Bank,2025-Q4,2025-10-31,-2013000000,CAD,-6589000000,CAD,9643000000,CAD,-4158000000,CAD,2145000000,CAD
AEM,Agnico Eagle Mines Limited,2025-Q4,2025-12-31,9513953403.11604,CAD,-3630567894.33271,CAD,-3184278118.25025,CAD,6114109990,CAD,3399843414.4657598,CAD
ENB,Enbridge Inc.,2025-Q4,2025-12-31,12951000000,CAD,-11174000000,CAD,-2410000000,CAD,3978000000,CAD,9165000000,CAD
BMO,Bank of Montreal,2025-Q4,2025-10-31,39386000000,CAD,-38474000000,CAD,1260000000,CAD,37657000000,CAD,1729000000,CAD
BNS,Bank of Nova Scotia,2025-Q4,2025-10-31,10489000000,CAD,-18999000000,CAD,9177000000,CAD,10142000000,CAD,347000000,CAD
CM,Canadian Imperial Bank of Commerce,2025-Q4,2025-10-31,12732000000,CAD,-57072000000,CAD,52760000000,CAD,11623000000,CAD,1109000000,CAD
CNQ,Canadian Natural Resources Limited,2025-Q3,2025-09-30,14770000000,CAD,-15901000000,CAD,523000000,CAD,8267000000,CAD,6642000000,CAD
ABX,Barrick Mining Corporation,2025-Q4,2025-12-31,11098663078.9363,CAD,-1576141502.3341498,CAD,-5847652648.28759,CAD,5759623470,CAD,5339039610.30033,CAD
CP,Canadian Pacific Kansas City Limited,2025-Q4,2025-12-31,5309000000,CAD,-2665000000,CAD,-3146000000,CAD,2169000000,CAD,3140000000,CAD
WPM,Wheaton Precious Metals Corp,2025-Q3,2025-09-30,2065068801.55175,CAD,-1019008602.5869601,CAD,-399810008.627567,CAD,967320870,CAD,1138976929.54585,CAD
CNR,Canadian National Railway Company,2025-Q4,2025-12-31,7049000000,CAD,-3713000000,CAD,-3371000000,CAD,3391000000,CAD,3658000000,CAD
SU,Suncor Energy Inc.,2025-Q4,2025-12-31,12781000000,CAD,-6022000000,CAD,-6468000000,CAD,6925000000,CAD,5856000000,CAD
TRP,TC Energy Corporation,2025-Q4,2025-12-31,7351000000,CAD,-6463000000,CAD,-1516000000,CAD,2081000000,CAD,5286000000,CAD
MFC,Manulife Financial Corporation,2025-Q4,2025-12-31,32105000000,CAD,-28365000000,CAD,-2049000000,CAD,32105000000,CAD,0,CAD
IMO,Imperial Oil Limited,2025-Q4,2025-12-31,6708000000,CAD,-1892000000,CAD,-4653000000,CAD,4703000000,CAD,2005000000,CAD
L,Loblaw Companies Limited,2025-Q3,2025-09-30,5211000000,CAD,-2018000000,CAD,-2839000000,CAD,3596000000,CAD,1968000000,CAD
ATD,Alimentation Couche-Tard Inc.,2025-Q2,2025-10-31,7263194715.15382,CAD,-5329382804.89508,CAD,-2019050414.18939,CAD,4057566930,CAD,3205627789.67227,CAD
CCO,Cameco Corporation,2025-Q4,2025-12-31,1355790000,CAD,-433520000,CAD,-390283000,CAD,1022765000,CAD,333025000,CAD
NA,National Bank of Canada,2025-Q4,2025-10-31,4057000000,CAD,-71136000000,CAD,63459000000,CAD,3824000000,CAD,502000000,CAD
FNV,Franco-Nevada Corporation,2025-Q3,2025-09-30,1831769883.1606598,CAD,-2980651449.79944,CAD,-362554275.834185,CAD,-1202015930,CAD,3033785816.2450404,CAD
CVE,Cenovus Energy Inc.,2025-Q4,2025-12-31,8228000000,CAD,-7677000000,CAD,-749000000,CAD,3408000000,CAD,4907000000,CAD
GWO,Great-West Lifeco Inc.,2025-Q4,2025-12-31,2708000000,CAD,-56000000,CAD,-4322000000,CAD,2708000000,CAD,0,CAD
WCN,"Waste Connections, Inc.",2025-Q4,2025-12-31,3373151010.99139,CAD,-2827054309.93532,CAD,-503081172.554866,CAD,1704277060,CAD,1668873955.2986002,CAD
K,Kinross Gold Corporation,2025-Q4,2025-12-31,5184640207.3072,CAD,-1426567354.99986,CAD,-2179102201.53825,CAD,3519498250,CAD,1765675145.76907,CAD
FFH,Fairfax Financial Holdings Limited,2025-Q4,2025-12-31,,,,,,,,,,
CSU,Constellation Software Inc.,2025-Q3,2025-09-30,3557385992.53338,CAD,-2759148105.4228,CAD,135553913.691412,CAD,3456952380,CAD,100433609.898796,CAD
