Symbol,Description,"Revenue per share, Trailing 12 months","Revenue per share, Trailing 12 months - Currency","Earnings per share basic, Trailing 12 months","Earnings per share basic, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Free cash flow per share, Trailing 12 months","Free cash flow per share, Trailing 12 months - Currency","EBIT per share, Trailing 12 months","EBIT per share, Trailing 12 months - Currency","EBITDA per share, Trailing 12 months","EBITDA per share, Trailing 12 months - Currency","Book value per share, Quarterly","Book value per share, Quarterly - Currency","Total debt per share, Quarterly","Total debt per share, Quarterly - Currency","Cash per share, Quarterly","Cash per share, Quarterly - Currency"
RY,Royal Bank of Canada,96.6503986397126,CAD,14.1013,CAD,14.0739,CAD,15.4044209333081,CAD,,,,,,,91.02759,CAD,248.9350160589452,CAD,,
TD,Toronto-Dominion Bank,72.8533646782251,CAD,11.5372,CAD,11.5262,CAD,-1.18307375844843,CAD,,,,,,,68.77909,CAD,164.1545694975022,CAD,,
AEM,Agnico Eagle Mines Limited,33.181063605373,CAD,12.4051,CAD,12.3868,CAD,18.9896651187789,CAD,12.20364408884469,CAD,17.726071956408727,CAD,22.316774726685132,CAD,67.82514,CAD,0.8795387759255813,CAD,7.8657229065151855,CAD
ENB,Enbridge Inc.,29.750256147541,CAD,3.2435,CAD,3.2325,CAD,5.90491290983607,CAD,1.8137397540983626,CAD,5.187259221311481,CAD,7.768350409836074,CAD,25.44225,CAD,48.29253073770497,CAD,0.5366444672131153,CAD
BMO,Bank of Montreal,108.993147811495,CAD,11.4637,CAD,11.4426,CAD,55.0776115228639,CAD,,,,,,,111.57338,CAD,244.50566354356033,CAD,,
BNS,Bank of Nova Scotia,58.0441767068273,CAD,5.8406,CAD,5.6347,CAD,8.42489959839357,CAD,,,,,,,62.22328,CAD,190.10843373493975,CAD,,
CM,Canadian Imperial Bank of Commerce,65.8808012706095,CAD,8.6224,CAD,8.5726,CAD,13.6081760213079,CAD,,,,,,,62.33448,CAD,178.02747714335186,CAD,,
CNQ,Canadian Natural Resources Limited,18.4437365985511,CAD,3.1722,CAD,3.1598,CAD,7.05351983533828,CAD,3.947965367551899,CAD,4.3085210531091365,CAD,8.664320268960216,CAD,19.40499,CAD,8.938915658623012,CAD,0.053963963533732257,CAD
ABX,Barrick Mining Corporation,14.0403447132187,CAD,4.104,CAD,4.104,CAD,6.62464370579238,CAD,3.437842296581034,CAD,6.577190502339795,CAD,8.247600217266738,CAD,21.72847,CAD,3.8479116428707862,CAD,5.486730911565275,CAD
CP,Canadian Pacific Kansas City Limited,16.7831700801425,CAD,4.5211,CAD,4.5166,CAD,5.90939447907391,CAD,2.414292074799644,CAD,6.313446126447017,CAD,8.560774710596617,CAD,51.11074,CAD,25.81032947462155,CAD,0.20480854853072128,CAD
WPM,Wheaton Precious Metals Corp,5.62878429691848,CAD,3.0806,CAD,3.0754,CAD,4.54092812500384,CAD,2.127064503219224,CAD,3.6061927180452455,CAD,4.491926630721599,CAD,24.80179,CAD,0.0244582987369384,CAD,3.542096472047286,CAD
CNR,Canadian National Railway Company,28.0909090909091,CAD,7.5768,CAD,7.5701,CAD,11.4431818181818,CAD,5.50487012987013,CAD,10.693181818181818,CAD,13.839285714285714,CAD,35.16713,CAD,34.938311688311686,CAD,0.5892857142857143,CAD
SU,Suncor Energy Inc.,40.7227310574521,CAD,4.8558,CAD,4.8518,CAD,10.6419650291424,CAD,5.766028309741881,CAD,6.656952539550375,CAD,12.895087427144047,CAD,37.80749,CAD,12.076602830974188,CAD,3.039134054954205,CAD
TRP,TC Energy Corporation,14.5869356388088,CAD,3.2692,CAD,3.2683,CAD,7.06147934678194,CAD,1.9990393852065322,CAD,6.443804034582133,CAD,9.103746397694524,CAD,24.05379,CAD,58.18155619596542,CAD,0.2507204610951009,CAD
MFC,Manulife Financial Corporation,36.1162390167275,CAD,3.0899,CAD,3.0807,CAD,19.0087026612246,CAD,19.00870266122456,CAD,,,,,25.91592,CAD,8.68876223496248,CAD,,
IMO,Imperial Oil Limited,88.8183248132127,CAD,6.4748,CAD,6.4187,CAD,13.189146677153,CAD,9.24695241840346,CAD,8.110499410145497,CAD,13.181281950452222,CAD,46.01804,CAD,8.32284703106567,CAD,2.245379473063311,CAD
L,Loblaw Companies Limited,52.8275054375105,CAD,2.0707,CAD,2.053,CAD,4.35921030617367,CAD,3.0081980926886396,CAD,3.700016730801405,CAD,6.049857788188054,CAD,9.6328,CAD,16.667224360046845,CAD,1.8780324577547263,CAD
ATD,Alimentation Couche-Tard Inc.,107.854493330208,CAD,3.8471,CAD,3.8448,CAD,7.72187403269596,CAD,4.313807069955348,CAD,5.689809610886668,CAD,9.057031448011907,CAD,23.12747,CAD,23.27196044014459,CAD,3.26274595470976,CAD
CCO,Cameco Corporation,7.99602527893059,CAD,1.3542,CAD,1.3538,CAD,3.113480676659,CAD,2.3487111309739284,CAD,1.333988649531643,CAD,2.0346877190524224,CAD,15.85311,CAD,2.322338896268884,CAD,2.788932713043553,CAD
NA,National Bank of Canada,76.6481041257372,CAD,10.2103,CAD,10.0967,CAD,10.2421316306484,CAD,,,,,,,78.38839,CAD,207.22329076620952,CAD,,
FNV,Franco-Nevada Corporation,11.1892253632673,CAD,6.6671,CAD,6.6587,CAD,9.49103566404486,CAD,-6.228061813471503,CAD,7.727717875647668,CAD,9.750948393782382,CAD,50.51858,CAD,0.06127927461139897,CAD,1.7064475647668393,CAD
CVE,Cenovus Energy Inc.,26.6609442060086,CAD,2.1639,CAD,2.1481,CAD,4.41416309012876,CAD,1.8283261802575108,CAD,2.351931330472103,CAD,5.2677038626609445,CAD,16.77669,CAD,7.621781115879829,CAD,1.4699570815450644,CAD
GWO,Great-West Lifeco Inc.,53.496240458015,CAD,4.2895,CAD,4.2649,CAD,2.94572519083968,CAD,2.945725190839679,CAD,,,,,28.06588,CAD,11.97761450381673,CAD,,
WCN,"Waste Connections, Inc.",51.5654723851213,CAD,5.8412,CAD,5.8264,CAD,13.1522469872805,CAD,6.645143592693247,CAD,9.627747442512291,CAD,16.33943686596009,CAD,44.21638,CAD,48.88101156670986,CAD,0.24568465651173318,CAD
K,Kinross Gold Corporation,8.14510326528251,CAD,2.7376,CAD,2.731,CAD,4.28955339821334,CAD,2.9118849282956347,CAD,3.533130686707106,CAD,4.868641365140637,CAD,9.79757,CAD,0.8602155612244874,CAD,1.9912544263651353,CAD
FFH,Fairfax Financial Holdings Limited,3039.91312275359,CAD,310.5596,CAD,298.5209,CAD,,,,,,,,,1727.4034,CAD,887.0602966986054,CAD,,
CSU,Constellation Software Inc.,735.484949091644,CAD,43.9601,CAD,43.9601,CAD,167.868294197417,CAD,163.12896614826772,CAD,117.92200232828871,CAD,205.85547669281075,CAD,227.76867,CAD,357.31251117781494,CAD,203.73772917764785,CAD
DOL,Dollarama Inc.,25.4892005274751,CAD,4.7195,CAD,4.7008,CAD,6.27643896359842,CAD,5.374949281242754,CAD,6.318274692789243,CAD,7.929294429631348,CAD,4.74447,CAD,19.52113160792952,CAD,0.7445549791328542,CAD
TRI,Thomson Reuters Corporation,23.4589863503936,CAD,4.6702,CAD,4.6651,CAD,8.31290511145402,CAD,6.3248319974203815,CAD,6.2433596194986345,CAD,9.160023827857074,CAD,,,6.530782780778317,CAD,1.5719406504840887,CAD
SLF,Sun Life Financial Inc.,74.6560773480662,CAD,6.1597,CAD,6.1373,CAD,24.5135635359116,CAD,24.255207182320415,CAD,,,,,40.2546,CAD,37.957002762430896,CAD,,
NTR,Nutrien Ltd.,77.5814311195367,CAD,6.4655,CAD,6.4628,CAD,11.5863852368781,CAD,5.788855316471937,CAD,10.588551674757984,CAD,17.437855241973867,CAD,72.02121,CAD,34.09330521031219,CAD,1.988468837043751,CAD
IFC,Intact Financial Corporation,169.758426966292,CAD,18.3882,CAD,18.3526,CAD,24.6516853932584,CAD,22.084269662921347,CAD,,,,,107.35701,CAD,29.50561797752809,CAD,,
CLS,Celestica Inc.,149.281495663781,CAD,10.056,CAD,9.982,CAD,7.95092156350677,CAD,5.525257549611734,CAD,12.919933908541845,CAD,15.037043140638481,CAD,,,9.183670189818809,CAD,7.044164797238999,CAD
POW,Power Corporation of Canada,81.485484867202,CAD,4.8173,CAD,4.7568,CAD,9.65873996294009,CAD,8.185608400247066,CAD,,,,,36.74175,CAD,32.2467572575664,CAD,,
TECK.A,Teck Resources Limited Class A,21.9555011226781,CAD,2.8405,CAD,2.831,CAD,2.1310471524801,CAD,-2.077975096958563,CAD,3.6844253929373343,CAD,7.601551337007553,CAD,51.37601,CAD,19.610124515207186,CAD,10.230659318228211,CAD
QSP.UN,Restaurant Brands International LP,28.8279837308161,CAD,3.295,CAD,3.168,CAD,5.24059650317504,CAD,4.4303525820568925,CAD,7.826969584245076,CAD,8.744107417943107,CAD,15.31737,CAD,47.028422866520785,CAD,3.488363785557987,CAD
FTS,Fortis Inc.,24.0235374846661,CAD,3.4052,CAD,3.4036,CAD,8.01837380959027,CAD,-3.7111134323066737,CAD,6.893195800858992,CAD,10.953706614824325,CAD,43.73546,CAD,68.4858347981105,CAD,0.7244567179024198,CAD
WN,George Weston Limited,165.506230529595,CAD,3.8246,CAD,3.7702,CAD,12.1443406022845,CAD,7.022326064382139,CAD,14.67808930425753,CAD,21.038421599169265,CAD,12.76402,CAD,59.87538940809969,CAD,6.344755970924195,CAD
PAAS,Pan American Silver Corp.,11.9743048939916,CAD,3.497,CAD,3.496,CAD,4.55777888248968,CAD,3.5184596707331517,CAD,3.8617500651427217,CAD,5.593174748312212,CAD,22.73606,CAD,2.766502428046903,CAD,4.282883453748668,CAD
PPL,Pembina Pipeline Corporation,13.5051546391753,CAD,2.8055,CAD,2.8007,CAD,5.70103092783505,CAD,4.341924398625429,CAD,4.441580756013746,CAD,6.140893470790378,CAD,25.89501,CAD,22.835051546391753,CAD,0.25601374570446733,CAD
H,Hydro One Limited,15.0738149009991,CAD,2.2328,CAD,2.2296,CAD,4.49330064795846,CAD,-0.4585000661182105,CAD,3.731356901718382,CAD,5.583697168835952,CAD,21.08767,CAD,31.9449500611815,CAD,0.9153328592687184,CAD
LUN,Lundin Mining Corporation,6.10687724926438,CAD,2.0909,CAD,2.0884,CAD,2.10648423868526,CAD,0.9888378646757383,CAD,1.5701595310378063,CAD,2.6050584342108487,CAD,10.62108,CAD,0.7200554943397051,CAD,0.48735072715207345,CAD
BCE,BCE Inc.,,,6.7744,CAD,,,,,,,,,,,,,,,,
FM,First Quantum Minerals Ltd.,8.78870937313929,CAD,-0.0473,CAD,-0.0473,CAD,2.66743659508417,CAD,0.763803433333053,CAD,2.203707766627541,CAD,3.4467463829143083,CAD,18.47945,CAD,11.672558684910179,CAD,1.1791128694124842,CAD
WSP,WSP Global Inc,138.235467547486,CAD,6.7058,CAD,6.6875,CAD,13.8695340841088,CAD,12.774088398020917,CAD,12.988746862310109,CAD,18.760844215225195,CAD,67.27016,CAD,38.0472579088524,CAD,3.1602920525423115,CAD
T,TELUS Corporation,13.2388356164383,CAD,0.7278,CAD,0.7258,CAD,3.16623287671232,CAD,1.5297602739726006,CAD,2.02948630136986,CAD,4.677123287671226,CAD,10.18399,CAD,20.469897260273946,CAD,1.7054452054794498,CAD
RCI.A,Rogers Communications Inc. Class A,195.336096978038,CAD,12.8468,CAD,12.7959,CAD,,,4.353739256162686,CAD,9.288717511660016,CAD,18.336794673277026,CAD,44.95532,CAD,81.77329310384472,CAD,2.4878510035215347,CAD
AGI,Alamos Gold Inc.,5.97636401782289,CAD,2.9242,CAD,2.9098,CAD,2.56667997715026,CAD,0.8819239411358889,CAD,2.8644760172453294,CAD,3.59036805541502,CAD,14.51453,CAD,0.7239539376868209,CAD,2.214065405840412,CAD
BBD.A,Bombardier Inc. Class A,132.279508519228,CAD,13.3043,CAD,13.1199,CAD,16.9986443540032,CAD,14.861671880431006,CAD,15.826599731863551,CAD,22.249454292665973,CAD,-17.09627,CAD,76.1232831818859,CAD,29.60803664531506,CAD
RBA,"RB Global, Inc.",34.2537646418592,CAD,2.8824,CAD,2.8635,CAD,7.29753163461007,CAD,5.365349386011745,CAD,6.641680192205018,CAD,11.067610411105177,CAD,41.08121,CAD,29.687385878270153,CAD,5.084875066737854,CAD
LUG,Lundin Gold Inc.,10.2499524902442,CAD,4.5848,CAD,4.5572,CAD,5.95101766962047,CAD,5.456176771094832,CAD,6.335788839835931,CAD,7.113000058589385,CAD,7.74494,CAD,0,CAD,3.558121352744873,CAD
MG,Magna International Inc.,208.755835889451,CAD,4.0914,CAD,4.0914,CAD,17.8785357756217,CAD,8.874670625889047,CAD,10.455934637268848,CAD,19.509530263157895,CAD,61.10711,CAD,32.60649626600284,CAD,7.857926742532006,CAD
TOU,Tourmaline Oil Corp.,14.6201691947456,CAD,3.5117,CAD,3.4966,CAD,8.61875023125984,CAD,0.6267030893770278,CAD,3.340174190665093,CAD,7.824695663331886,CAD,42.31539,CAD,4.56696853859806,CAD,0,CAD
IVN,Ivanhoe Mines Ltd. Class A,0.432215314052443,CAD,0.2699,CAD,0.2682,CAD,-0.130316133814197,CAD,-0.4798046325216183,CAD,-0.041095335690609386,CAD,0.04008457853786013,CAD,5.68144,CAD,1.2188493072184232,CAD,0.8517970979075993,CAD
GIB.A,CGI Inc. Class A,74.4531834103204,CAD,7.5422,CAD,7.4619,CAD,11.3004364418049,CAD,10.77052813185691,CAD,12.516806873468795,CAD,15.372124230829073,CAD,46.55614,CAD,19.71405285349092,CAD,3.864216065314702,CAD
EDV,Endeavour Mining PLC,22.1300272956535,CAD,2.8372,CAD,2.7743,CAD,8.1216702751532,CAD,5.087374665585732,CAD,9.108202796919336,CAD,12.998673449533847,CAD,17.87796,CAD,4.531215079043373,CAD,1.4788207539521687,CAD
EMA,Emera Incorporated,26.8363273453094,CAD,3.6957,CAD,3.6912,CAD,7.5981370592149,CAD,-4.025282767797737,CAD,5.282767797737857,CAD,9.464404524284763,CAD,40.07984,CAD,68.67598137059214,CAD,0.7518296739853626,CAD
GFL,GFL Environmental Inc,18.014659045886,CAD,-3.723,CAD,-3.768,CAD,4.14702848091482,CAD,1.0390716141280998,CAD,1.0889013063150605,CAD,4.672554742777304,CAD,20.40326,CAD,21.601307709747456,CAD,0.2330831503390077,CAD
MRU,Metro Inc.,103.333643988816,CAD,4.5248,CAD,4.5082,CAD,7.28331780055918,CAD,5.296831314072694,CAD,6.793569431500466,CAD,9.609972041006525,CAD,32.93612,CAD,22.680335507921715,CAD,0.08341099720410065,CAD
BNT,Brookfield Wealth Solutions Ltd. Class A,,,,,,,,,,,,,,,,,,,,
AG,First Majestic Silver Corp.,3.57270685391495,CAD,0.4691,CAD,0.4674,CAD,1.58175099605494,CAD,0.9826562443214465,CAD,0.993029903238425,CAD,1.7778708658013622,CAD,7.70298,CAD,0.861357159657869,CAD,2.716882838174593,CAD
GIL,Gildan Activewear Inc.,31.4412785723186,CAD,4.3775,CAD,4.373,CAD,4.48789295474899,CAD,3.395596953437431,CAD,6.799237153594181,CAD,8.142551529645036,CAD,13.89128,CAD,17.44331099053476,CAD,1.0498017604147827,CAD
IMG,IAMGOLD Corporation,6.85087256218866,CAD,1.5988,CAD,1.5922,CAD,2.52969025855786,CAD,1.8236574569601665,CAD,2.661904581898685,CAD,3.685742796360077,CAD,9.71978,CAD,1.797752447122488,CAD,0.9979909554845104,CAD
SAP,Saputo Inc.,46.0830049910129,CAD,1.5597,CAD,1.5544,CAD,3.52300970078191,CAD,2.632552014702733,CAD,2.693209895225837,CAD,4.226641114849917,CAD,16.41961,CAD,8.513940110222938,CAD,1.0845629037531073,CAD
WCP,Whitecap Resources Inc.,3.68475157053112,CAD,1.1719,CAD,1.1646,CAD,1.86105898670148,CAD,0.5369992657257078,CAD,0.8985885616382475,CAD,2.0899078077833075,CAD,8.99399,CAD,2.9120502569960025,CAD,0,CAD
TIH,Toromont Industries Ltd.,63.8781046277803,CAD,6.1066,CAD,6.0762,CAD,10.53060414472,CAD,5.623818884098651,CAD,8.328551431244637,CAD,12.219909431441518,CAD,40.39923,CAD,10.32695638072877,CAD,16.27347845580507,CAD
ATRL,Atkinsrealis Group Inc.,63.4372065375332,CAD,14.9476,CAD,14.9,CAD,2.22760078296687,CAD,1.192271204351951,CAD,3.3762624139877273,CAD,5.004515269054796,CAD,33.36645,CAD,7.933081551042955,CAD,6.019814345586205,CAD
IGM,IGM Financial Inc.,15.0559376973269,CAD,4.6608,CAD,4.6353,CAD,4.35693959166491,CAD,,,5.722045885076826,CAD,6.134851610187329,CAD,38.03865,CAD,31.06934119132814,CAD,5.363969690591454,CAD
CCL.A,CCL Industries Inc. Class A,43.2643263757108,CAD,4.612,CAD,4.5898,CAD,6.94440227703972,CAD,4.75673624288416,CAD,6.516888045540672,CAD,9.111005692599447,CAD,32.20325,CAD,14.941366223908632,CAD,6.471916508538777,CAD
ATZ,"Aritzia, Inc.",28.4846417237348,CAD,3.0315,CAD,2.9168,CAD,6.35589610823451,CAD,4.245465174544847,CAD,3.8228411558376485,CAD,5.523534324369468,CAD,11.63171,CAD,8.678027392684148,CAD,5.182069483881744,CAD
ARX,ARC Resources Ltd.,10.582999477443,CAD,2.1886,CAD,2.1848,CAD,5.38843407071939,CAD,2.188817279219648,CAD,3.043198049120362,CAD,5.766068629158683,CAD,14.48234,CAD,6.814666434419091,CAD,0.012192997735586134,CAD
IAG,iA Financial Corporation Inc.,127.89247311828,CAD,11.3438,CAD,11.2646,CAD,37.0322580645161,CAD,34.526881720430104,CAD,,,,,79.20641,CAD,28.29032258064516,CAD,,
STN,Stantec Inc,70.0281444251249,CAD,4.2387,CAD,4.2387,CAD,7.51663528963834,CAD,7.056379454898412,CAD,6.559303153379292,CAD,9.37957557310947,CAD,28.31494,CAD,23.73955761699517,CAD,3.169190176352064,CAD
