Symbol,Description,Technical Rating 1 day,Moving Averages Rating 1 day,Oscillators Rating 1 day,Relative Strength Index (14) 1 day,Momentum (10) 1 day,Awesome Oscillator 1 day,Commodity Channel Index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick Pattern 1 day
RY,Royal Bank of Canada,Strong buy,Strong buy,Buy,58.62967614978342,4.8700000000000045,-0.4884705882352307,96.45879549748948,67.8100130384711,59.17436281541692,Marubozu White
TD,Toronto-Dominion Bank,Strong buy,Strong buy,Buy,60.09305989972034,2.6200000000000045,0.3507941176471263,89.87632925345416,66.14538272256242,58.583385852342765,Marubozu White
AEM,Agnico Eagle Mines Limited,Strong buy,Strong buy,Buy,63.35058590221187,52.170000000000016,18.305411764705752,128.73041758786965,96.89290781882245,89.45935452025884,
ENB,Enbridge Inc.,Strong buy,Strong buy,Neutral,60.941222678285186,1.4099999999999966,4.127441176470569,81.69738457265366,58.42752402175461,61.908561031679824,
BMO,Bank of Montreal,Strong buy,Strong buy,Buy,65.83702118614394,8.159999999999997,4.822000000000116,147.27053422045864,87.16749073695428,75.08975963583943,
BNS,Bank of Nova Scotia,Strong buy,Strong buy,Buy,64.52895834951042,2.549999999999997,1.392279411764676,127.4690799396733,71.36904761904765,62.202380952380985,Marubozu White
CM,Canadian Imperial Bank of Commerce,Strong buy,Strong buy,Buy,69.32377971399372,6.75,3.803382352941469,162.35496316325143,93.97657819550777,85.29463473427792,Marubozu White
CNQ,Canadian Natural Resources Limited,Buy,Strong buy,Neutral,76.09021772252578,6.100000000000001,6.538499999999914,148.10981745004852,92.43302140539397,93.07765199618206,Spinning Top Black
ABX,Barrick Mining Corporation,Buy,Strong buy,Buy,51.53815206246381,5.469999999999992,-1.4915147058823948,-6.314674755028592,70.65222157622308,53.516370726953205,
CP,Canadian Pacific Kansas City Limited,Strong buy,Strong buy,Buy,78.4975699584189,8.129999999999995,10.574691176470765,100.8530145650787,97.05749323792149,95.67677108495452,Spinning Top White
WPM,Wheaton Precious Metals Corp,Strong buy,Strong buy,Buy,59.84943601199325,26.460000000000008,7.511161764705889,76.22061011457197,79.27518152986865,64.88895929009261,
CNR,Canadian National Railway Company,Strong buy,Strong buy,Neutral,74.40104828131184,14.120000000000005,9.347676470587658,134.32137919818084,95.06388130383237,93.33271058649034,
SU,Suncor Energy Inc.,Buy,Strong buy,Neutral,66.01558707927674,3.510000000000005,5.865794117647056,112.66117468113171,86.24723273584233,86.87012630663257,
TRP,TC Energy Corporation,Buy,Strong buy,Neutral,69.80805863172569,3.3599999999999994,6.144411764706007,120.40581321978162,77.9308195858779,78.82629984794148,Spinning Top Black
MFC,Manulife Financial Corporation,Sell,Sell,Neutral,46.46132090326256,-1.0800000000000054,-1.1673529411764676,-96.3047532062242,36.599851521900554,40.65825290769609,Bullish Harami
IMO,Imperial Oil Limited,Buy,Strong buy,Neutral,68.93090034184488,16.47,21.434970588235302,110.33925938395325,94.5082429926235,93.69084098857434,
L,Loblaw Companies Limited,Buy,Strong buy,Neutral,60.964781948719356,0.4900000000000091,4.214558823529316,64.6272089916127,90.03796777686371,92.93641968746745,
