Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
RY,Royal Bank of Canada,236,CAD,0.8719439220379518,2647671,0.7479545505779824,330450040527,CAD,16.768628454088773,14.0739,CAD,25.132477416601475,2.6271186440678,Finance,Buy
TD,Toronto-Dominion Bank,132.79,CAD,1.1579187933267172,4304973,0.89346035838881,224348158736,CAD,11.520709340459128,11.5262,CAD,144.3648236092266,3.18548083440018,Finance,Buy
AEM,Agnico Eagle Mines Limited,311.56,CAD,1.317030340476736,891480,0.9366455150588976,156100781592,CAD,25.15258178060516,12.3868,CAD,138.9890025081999,0.717871357041982,Non-energy minerals,Buy
ENB,Enbridge Inc.,70.55,CAD,-0.14154281670206442,11227279,0.7002012029016784,153928135894,CAD,21.82521268368136,3.2325,CAD,37.87587971849008,5.34372785258682,Industrial services,Buy
BMO,Bank of Montreal,199.76,CAD,1.5298602287166407,1694149,0.6026073387063585,141610998874,CAD,17.45757083180396,11.4426,CAD,20.321766561514202,3.26391670004005,Finance,Neutral
BNS,Bank of Nova Scotia,105.75,CAD,1.351351351351348,3405900,0.8967019093676822,130739336884,CAD,18.767636253926565,5.6347,CAD,-4.201094902920883,4.12293144208038,Finance,Neutral
CM,Canadian Imperial Bank of Commerce,136.25,CAD,1.323715326838701,2302484,1.1507788690441532,126250693665,CAD,15.89366119963605,8.5726,CAD,17.828327949969065,2.84770642201835,Finance,Buy
CNQ,Canadian Natural Resources Limited,58,CAD,-0.3949854027133727,13217956,1.6373227590355297,120820202148,CAD,18.355592126083927,3.1598,CAD,-10.296664300922636,4.05172413793103,Energy minerals,Buy
ABX,Barrick Mining Corporation,65.6,CAD,-1.4423076923077043,12309882,1.6628516845139463,109903636506,CAD,15.984405458089666,4.104,CAD,143.11355962324507,1.11501676829268,Non-energy minerals,Buy
CP,Canadian Pacific Kansas City Limited,116.44,CAD,0.37931034482758424,1161450,0.6889210089440853,104892791528,CAD,25.78045432404906,4.5166,CAD,13.556594760396253,0.750601167983511,Transportation,Strong buy
WPM,Wheaton Precious Metals Corp,205.65,CAD,3.2898041185334064,866242,1.190974877450475,93368774930,CAD,66.86935032841257,3.0754,CAD,68.4135589507694,0.450109409190372,Non-energy minerals,Strong buy
CNR,Canadian National Railway Company,151.19,CAD,0.840392183018736,1149648,0.5580707441637417,92437571184,CAD,19.97199508593017,7.5701,CAD,7.979231745760054,2.34803889146108,Transportation,Buy
SU,Suncor Energy Inc.,76.23,CAD,-1.9801980198019702,4658239,0.6598379445796577,90709265309,CAD,15.711694628797561,4.8518,CAD,3.034679012083502,3.03030303030303,Energy minerals,Buy
TRP,TC Energy Corporation,85.34,CAD,-0.33866635524931926,1493505,0.5542156335041989,88838936188,CAD,26.11143407887893,3.2683,CAD,-26.186819639550123,3.98406374501992,Industrial services,Buy
MFC,Manulife Financial Corporation,50.16,CAD,1.1902360298567607,6121564,0.7572125582096043,84105430730,CAD,16.282013828026095,3.0807,CAD,8.049242424242435,3.50877192982456,Finance,Buy
IMO,Imperial Oil Limited,164.96,CAD,-1.7919866642852837,595847,0.7522628283330991,79773457085,CAD,25.699908081075606,6.4187,CAD,-28.941658363777258,1.7458777885548,Energy minerals,Sell
L,Loblaw Companies Limited,67.26,CAD,-1.924759405074356,1361947,1.1177235172927311,78821546571,CAD,32.76181198246469,2.053,CAD,14.004886717014658,0.819922688076122,Retail trade,Buy
ATD,Alimentation Couche-Tard Inc.,83.8,CAD,-0.4040884240551502,1360099,0.635556657106908,76985350387,CAD,21.795672076570952,3.8448,CAD,4.845790951978408,0.954653937947494,Retail trade,Buy
CCO,Cameco Corporation,165.86,CAD,1.6859787873214394,910525,0.9121355577543268,72216632740,CAD,122.51440390013298,1.3538,CAD,243.08160162189557,0.144700349692512,Non-energy minerals,Strong buy
NA,National Bank of Canada,178.7,CAD,1.2292528182178595,1582642,1.1718744562286962,69397534115,CAD,17.69885210019115,10.0967,CAD,-5.43947553266214,2.65249020705092,Finance,Buy
FNV,Franco-Nevada Corporation,356.43,CAD,2.0178602095139992,415307,1.2607165168990235,68711540202,CAD,53.528466517488404,6.6587,CAD,,0.594750161321999,Non-energy minerals,Buy
CVE,Cenovus Energy Inc.,30.88,CAD,-2.5252525252525277,12758374,1.6124333851231385,58373451539,CAD,14.375494623155348,2.1481,CAD,30.989694493566684,2.5259067357513,Energy minerals,Strong buy
GWO,Great-West Lifeco Inc.,63.84,CAD,0.12547051442911764,1959800,0.6894120097907903,57708032540,CAD,14.968697976505899,4.2649,CAD,2.369065335317556,3.82205513784461,Finance,Buy
WCN,"Waste Connections, Inc.",223.74,CAD,-1.6570700189002603,365168,0.8307824121692533,57206119500,CAD,38.40107098723054,5.8264,CAD,80.97782195440143,0.811680075087155,Industrial services,Strong buy
K,Kinross Gold Corporation,45.75,CAD,-0.15277171540811935,5406318,1.3324144174336,54890852234,CAD,16.75210545587697,2.731,CAD,158.54397424973965,0.383621857923497,Non-energy minerals,Buy
FFH,Fairfax Financial Holdings Limited,2337.89,CAD,0.51204223596075,73585,1.1133301560644229,54772483767,CAD,7.831578961473049,298.5209,CAD,35.03480351889178,0.891348651989615,Finance,Buy
CSU,Constellation Software Inc.,2486.52,CAD,2.947423333457542,127175,1.195707768739258,52693164156,CAD,56.563110638965796,43.9601,CAD,7.730028574369328,0.223493074658559,Technology services,Strong buy
DOL,Dollarama Inc.,192.09,CAD,-0.6978908188585579,363254,0.5169721548272215,52591401386,CAD,40.86325731790333,4.7008,CAD,20.043923491406826,0.220313394762872,Retail trade,Buy
TRI,Thomson Reuters Corporation,113.99,CAD,-2.297077226364967,1050706,0.8768728790283701,50707595486,CAD,24.434631626331697,4.6651,CAD,-30.487841220646082,2.92596017194491,Technology services,Strong buy
SLF,Sun Life Financial Inc.,90.84,CAD,1.5312395216273662,3112486,1.0743531674490063,50313853272,CAD,14.801296987274535,6.1373,CAD,17.15981979230298,3.87494495816821,Finance,Buy
NTR,Nutrien Ltd.,97.43,CAD,-0.8749618475938543,920183,0.6741093069168248,47091872484,CAD,15.075509067277343,6.4628,CAD,246.5308310991957,3.11393513291594,Process industries,Buy
IFC,Intact Financial Corporation,261.96,CAD,-0.5089251804025947,463690,0.8553144542775039,46514027154,CAD,14.27372688338437,18.3526,CAD,48.415374786708384,2.03084440372576,Finance,Buy
